dcterms:identifier,dcterms:extent,dcterms:title,dcterms:spatial
215,7.07,Arrigo Park,"1250 W Lexington St Chicago, IL 60607"
216,6.34,Dvorak Park,"1119 W Cullerton St Chicago, IL 60608"
217,4.18,Pulaski Park,"1419 W Blackhawk St Chicago, IL 60622"
218,165.49,Douglas Park,"1401 S Sacramento Dr Chicago, IL 60623"
219,210.85,Humboldt Park,"1400 N Humboldt Dr Chicago, IL 60622"
225,16.18,West Pullman Park,"401 W 123rd St Chicago, IL 60628"
227,6.05,Senn Park,"5887 N Ridge Ave Chicago, IL 60660"
228,58.07,Horner Park,"2741 W Montrose Ave Chicago, IL 60618"
229,14.04,Hiawatha Park,"8029 W Forest Preserve Ave Chicago, IL 60634"
230,23.93,Piotrowski Park,"4200 W 31st St Chicago, IL 60623"
231,10.66,Rosenblum Park,"2000 E 75th St Chicago, IL 60649"
232,2.95,Eckersall Park,"2430 E 82nd St Chicago, IL 60617"
233,13.31,Vittum Park,"5014 W 50th St Chicago, IL 60638"
234,17.44,Hale Park,"6140 S Melvina Ave Chicago, IL 60638"
235,9.99,Oakdale Park,"965 W 95th St Chicago, IL 60643"
236,12.32,Robinson Park,"10540 S Morgan St Chicago, IL 60643"
237,18.42,Owens Park,"2100 E 88th St Chicago, IL 60617"
238,15.96,Wentworth Park,"5625 S Mobile Ave Chicago, IL 60638"
239,16.56,Dawes Park,"8040 S Damen Av Chicago, IL 60620"
240,22.54,Rogers Park,"7345 N Washtenaw Ave Chicago, IL 60645"
241,14.87,Mather Park,"5835 N Lincoln Ave Chicago, IL 60659"
242,20.63,Hayes Park,"2936 W 85th St Chicago, IL 60652"
243,17.66,Lindblom Park,"6054 S Damen Ave Chicago, IL 60636"
244,27.9,Gately Park,"810 E 103rd St Chicago, IL 60628"
245,16.48,West Lawn Park,"4233 W 65th St Chicago, IL 60629"
246,6.68,Touhy Park,"7348 N Paulina St Chicago, IL 60626"
247,11.83,Pasteur Park,"5825 S Kostner Ave Chicago, IL 60629"
248,18.64,Rowan Park,"11546 S Avenue L Chicago, IL 60617"
249,14.03,West Chatham Park,"8223 S Princeton Ave Chicago, IL 60620"
250,14.09,Archer Park,"4901 S Kilbourn Ave Chicago, IL 60632"
251,52.63,Mount Greenwood Park,"3724 W 111th St Chicago, IL 60655"
254,13.98,Beverly Park,"2460 W 102nd St Chicago, IL 60655"
255,18.76,Carver Park,"939 E 132nd St Chicago, IL 60627"
256,9.45,Merrimac Park,"6343 W Irving Park Rd Chicago, IL 60634"
257,9.51,Wildwood Park,"6950 N Hiawatha Ave Chicago, IL 60646"
258,14.88,Dunham Park,"4640 N Melvina Ave Chicago, IL 60630"
259,25,Abbott Park,"49 E 95th St Chicago, IL 60628"
260,7.28,Kelly (Edward) Park,"2725 W 41st St Chicago, IL 60632"
261,6.75,Williams Park,"2820 S State St Chicago, IL 60616"
262,9.23,Addams (Jane) Park,"1301 W 14th St Chicago, IL 60608"
263,7.97,Lake Meadows Park,"3113 S Rhodes Ave Chicago, IL 60616"
264,14.06,Bogan Park,"3939 W 79th St Chicago, IL 60652"
265,2.48,Scottsdale Park,"4620 W 83rd Pl Chicago, IL 60652"
266,3.96,Stateway Park,"3658 S State St Chicago, IL 60609"
267,21.91,Dunbar Park,"200 E 31st St Chicago, IL 60616"
268,9.69,Durkin Park,"8441 S Kolin Ave Chicago, IL 60652"
270,5.91,Cole Park,"361 E 85th St Chicago, IL 60619"
271,9.69,Taylor Park,"100 W 47th St Chicago, IL 60609"
272,4.61,Smith (Wendell) Park,"9912 S Princeton Ave Chicago, IL 60628"
273,8.53,Lerner Park,"7000 N Sacramento Ave Chicago, IL 60645"
274,48.44,Legion Park,"3100 W Bryn Mawr Ave Chicago, IL 60659"
275,11.97,Ronan Park,"3000 W Argyle St Chicago, IL 60625"
277,11.47,Nichols Park,"1342 E 54th St Chicago, IL 60615"
278,3.96,Houston Park,"5001 S Cottage Grove Ave Chicago, IL 60615"
279,0.52,Elm Park,"5215 S Woodlawn Ave Chicago, IL 60615"
280,1.29,Spruce Park,"1437 E 54th St Chicago, IL 60615"
283,0.98,Erhler Park,"2230 W Cortland St Chicago, IL 60647"
285,4.97,Austin Foster Park,"6020 W Foster Ave Chicago, IL 60630"
