schema:longitude,schema:latitude,schema:identifier,schema:addressLocality,map_zoom
-87.6000057829764,41.65533447340861,Chicago_Park_Facility_402,3514;3569,11
-87.59713931817689,41.65344039063941,Chicago_Park_Facility_403,3514;3569,11
-87.7279433019105,41.81426121504168,Chicago_Park_Facility_407,3517;3619,11
-87.65732881266166,41.97866237514146,Chicago_Park_Facility_409,3537;3574,11
-87.71589865030349,41.894401042906686,Chicago_Park_Facility_411,3485;3545,11
-87.66895122866202,41.96727104939563,Chicago_Park_Facility_419,3492;3597,11
-87.589143269447,41.767630039410136,Chicago_Park_Facility_426,3500;3600,11
-87.62192689525575,41.857659171201725,Chicago_Park_Facility_19574,3495;3608,11
-87.70517861491815,42.00448458230592,Chicago_Park_Facility_430,3481;3596,11
-87.76241220238342,41.9427999877665,Chicago_Park_Facility_438,3476;3585,11
-87.70882583826445,41.85980419229675,Chicago_Park_Facility_447,3491;3547,11
-87.685008490604,41.87326844143943,Chicago_Park_Facility_450,3490;3587,11
-87.64969681924246,41.963078695785754,Chicago_Park_Facility_458,3492;3597,11
-87.74062074676144,41.876667038783516,Chicago_Park_Facility_467,3487;3635,11
-87.66350720430641,41.92215439451336,Chicago_Park_Facility_482,3529;3576,11
-87.65237707613768,41.9132928172992,Chicago_Park_Facility_484,3529;3576,11
-87.66173788310165,41.983394122065626,Chicago_Park_Facility_485,3537;3583,11
-87.61595982469173,41.73969876928432,Chicago_Park_Facility_491,3501;3601,11
-87.6034332900749,41.79640400612626,Chicago_Park_Facility_493,3469;3615,11
-87.62627019957218,41.86205945499259,Chicago_Park_Facility_4535,3495;3608,11
-87.76569463717519,41.87489819194545,Chicago_Park_Facility_513,3487;3635,11
-87.76899146554601,41.87743045381142,Chicago_Park_Facility_3192,3487;3635,11
-87.67387258165304,41.8965951979276,Chicago_Park_Facility_526,3486;3622,11
-87.65503446394567,41.681002482670486,Chicago_Park_Facility_531,3513;3557,11
