objectid,park_no,park,facility_n,facility_t,gisobjid,Park_Name,Park_Address,ward,schema:name,schema:identifier,Chicago_Park_ID,geometry,omeka_id_community_area,dcterms:isPartOf
2603,7,SHERMAN (JOHN),Playground,OUTDOOR,4031,Sherman Park,"1307 W 52nd St Chicago, IL 60609",Chicago_Ward_20,Sherman Park - Playground 2,Chicago_Park_Facility_2603,Chicago_Park_7,"c(445232.177806017, 4627167.5047455)",7362,7222
2604,7,SHERMAN (JOHN),Playground,OUTDOOR,4032,Sherman Park,"1307 W 52nd St Chicago, IL 60609",Chicago_Ward_20,Sherman Park - Playground 3,Chicago_Park_Facility_2604,Chicago_Park_7,"c(445560.638690229, 4627339.67819726)",7362,7222
2617,1014,SHERWOOD (JESSE),Playground,OUTDOOR,4045,Sherwood Park,"5705 S Shields Ave Chicago, IL 60621",Chicago_Ward_20,Sherwood Park - Playground,Chicago_Park_Facility_2617,Chicago_Park_1014,"c(447385.060388336, 4626730.43842102)",7369,7223
2623,124,SIMONS (ALMIRA),Playground,OUTDOOR,4051,Simons Park,"1640 N Drake Ave Chicago, IL 60647",Chicago_Ward_26,Simons Park - Playground,Chicago_Park_Facility_2623,Chicago_Park_124,"c(440681.810687222, 4640210.04765498)",7327,7208
2625,1155,SINTIC (GREGORY),Playground Park,OUTDOOR,4053,Sintic Park,"2835 S Wallace St Chicago, IL 60616",Chicago_Ward_11,Sintic Park - Playground Park,Chicago_Park_Facility_2625,Chicago_Park_1155,"c(446767.307429253, 4632489.84114736)",7361,7287
2633,211,SKINNER (MARK),Playground,OUTDOOR,4061,Skinner Park,"1331 W  Monroe St Chicago, IL 60606",Chicago_Ward_27,Skinner Park - Playground,Chicago_Park_Facility_2633,Chicago_Park_211,"c(445235.951539988, 4636624.43847734)",7332,7244
2645,1015,SMITH (JOSEPH HIGGINS),Playground,OUTDOOR,4073,Smith (Joseph Higgins) Park,"2526 W Grand Ave Chicago, IL 60612",Chicago_Ward_26,Smith (Joseph Higgins) Park - Playground,Chicago_Park_Facility_2645,Chicago_Park_1015,"c(442803.992870977, 4638172.92299241)",7328,7286
2654,272,SMITH (WENDELL),Playground,OUTDOOR,4082,Smith (Wendell) Park,"9912 S Princeton Ave Chicago, IL 60628",Chicago_Ward_9,Smith (Wendell) Park - Playground,Chicago_Park_Facility_2654,Chicago_Park_272,"c(447471.989676632, 4618179.9830877)",7350,7266
2655,396,SNAPPING TURTLE,Playground Park,OUTDOOR,4083,Snapping Turtle Park,"534 N Albany Ave Chicago, IL 60612",Chicago_Ward_27,Snapping Turtle Park - Playground Park,Chicago_Park_Facility_2655,Chicago_Park_396,"c(441569.420845282, 4637966.62131626)",7327,7208
2656,389,SNOWBERRY,Playground Park,OUTDOOR,4084,Snowberry Park,"1855 W Huron St Chicago, IL 60622",Chicago_Ward_1,Snowberry Park - Playground Park,Chicago_Park_Facility_2656,Chicago_Park_389,"c(444073.385673398, 4638206.3519663)",7328,7286
2659,290,SOUTH LAKEVIEW,Playground,OUTDOOR,4087,South Lakeview Park,"1300 W Wolfram St Chicago, IL 60657",Chicago_Ward_32,South Lakeview Park - Playground,Chicago_Park_Facility_2659,Chicago_Park_290,"c(445124.280848802, 4642625.13018815)",7348,7238
2666,424,SPIKINGS FARM,Playground Park,OUTDOOR,4094,Spikings Farm Park,"4706 N Pulaski Rd Chicago, IL 60630",Chicago_Ward_39,Spikings Farm Park - Playground Park,Chicago_Park_Facility_2666,Chicago_Park_424,"c(439647.571217844, 4646346.13803066)",7317,7256
2667,280,SPRUCE,Playground,OUTDOOR,4095,Spruce Park,"1437 E 54th St Chicago, IL 60615",Chicago_Ward_5,Spruce Park - Playground,Chicago_Park_Facility_2667,Chicago_Park_280,"c(450991.376372821, 4627616.98696685)",7311,7278
2675,109,STANTON (EDWIN),Playground,OUTDOOR,4103,Stanton Park,"640 W Scott St Chicago, IL 60610",Chicago_Ward_27,Stanton Park - Playground,Chicago_Park_Facility_2675,Chicago_Park_109,"c(446471.205445347, 4639508.93261374)",7340,7301
2678,497,STARR (ELLEN GATES),Playground,OUTDOOR,4106,Starr Park,"2306 W Maypole Ave Chicago, IL 60612",Chicago_Ward_27,Starr Park - Playground,Chicago_Park_Facility_2678,Chicago_Park_497,"c(443206.151793316, 4637085.60595129)",7332,7206
2680,370,STARS & STRIPES,Playground,OUTDOOR,4108,Stars & Stripes Park,"7000 W 51st Pl Chicago, IL 60638",Chicago_Ward_23,Stars & Stripes Park - Playground,Chicago_Park_Facility_2680,Chicago_Park_370,"c(433678.412874493, 4627759.66568665)",7358,7221
2689,291,STOUT (FLORENCE),Playground,OUTDOOR,4117,Stout Park,"5446 S Greenwood Ave Chicago, IL 60615",Chicago_Ward_5,Stout Park - Playground 1,Chicago_Park_Facility_2689,Chicago_Park_291,"c(450155.65392824, 4627438.99954065)",7311,7278
2690,291,STOUT (FLORENCE),Playground,OUTDOOR,4118,Stout Park,"5446 S Greenwood Ave Chicago, IL 60615",Chicago_Ward_5,Stout Park - Playground 2,Chicago_Park_Facility_2690,Chicago_Park_291,"c(450155.970940007, 4627306.79810896)",7311,7278
2695,1016,STROHACKER (HOWARD),Playground,OUTDOOR,4123,Strohacker Park,"4347 W 54th St Chicago, IL 60632",Chicago_Ward_23,Strohacker Park - Playground,Chicago_Park_Facility_2695,Chicago_Park_1016,"c(439174.567973166, 4627247.43356736)",7363,7288
2700,1273,SUMAC,Playground Park,OUTDOOR,4128,Sumac Park,"4201 S Champlain Ave Chicago, IL 60653",Chicago_Ward_4,Sumac Park - Playground Park,Chicago_Park_Facility_2700,Chicago_Park_1273,"c(449321.832464046, 4629782.56331191)",7307,7204
