schema:longitude,schema:latitude,schema:address,schema:name,schema:identifier,schema:addressLocality,schema:name...18,schema:containedInPlace,schema:name...17
-87.53005028910864,41.71578135745325,"9801 S Avenue G Chicago, IL 60617",Calumet Park - Playground,Chicago_Park_Facility_371,1891,Ward 10,1917,Calumet Park
-87.66095357039384,41.97490373122701,"1224 W Carmen Ave Chicago, IL 60640",Carmen Park - Playground Park,Chicago_Park_Facility_392,1874,Ward 47,2386,Carmen Park
-87.6505429889059,41.781677862427,"6155 S Carpenter St Chicago, IL 60621",Carpenter Park - Playground Park,Chicago_Park_Facility_393,1901,Ward 16,2387,Carpenter Park
-87.6000057829764,41.65533447340861,"939 E 132nd St Chicago, IL 60627",Carver Park - Playground 1,Chicago_Park_Facility_402,1870,Ward 9,2059,Carver Park
-87.59713931817689,41.65344039063941,"939 E 132nd St Chicago, IL 60627",Carver Park - Playground 2,Chicago_Park_Facility_403,1870,Ward 9,2059,Carver Park
-87.7279433019105,41.81426121504168,"4330 S Kedvale Ave Chicago, IL 60632",Catalpa Park - Playground Park,Chicago_Park_Facility_407,1890,Ward 14,2142,Catalpa Park
-87.65732881266166,41.97866237514146,"5315 N Winthrop Ave Chicago, IL 60640",Cedar Park - Playground Park,Chicago_Park_Facility_409,1872,Ward 48,2495,Cedar Park
-87.71589865030349,41.894401042906686,"721 N Central Park Ave Chicago, IL 60624",Central Park - Playground Park,Chicago_Park_Facility_411,1905,Ward 27,2388,Central Park
-87.66895122866202,41.96727104939563,"4725 N Ashland Av Chicago, IL 60640",Chase Park - Playground,Chicago_Park_Facility_419,1874,Ward 47,1966,Chase Park
-87.589143269447,41.767630039410136,"7005 S Dante Ave Chicago, IL 60637",Chestnut Park - Playground Park,Chicago_Park_Facility_426,1866,Ward 5,2491,Chestnut Park
-87.62192689525575,41.857659171201725,"1801 S Indiana Ave Chicago, IL 60616",Chicago Women's Park - Playground,Chicago_Park_Facility_19574,1861,Ward 3,2283,Chicago Women's Park
-87.70517861491815,42.00448458230592,"6758 N Sacramento Ave Chicago, IL 60645",Chippewa Park - Playground,Chicago_Park_Facility_430,1889,Ward 50,2000,Chippewa Park
-87.76241220238342,41.9427999877665,"3420 N Long Ave Chicago, IL 60641",Chopin Park - Playground,Chicago_Park_Facility_438,1895,Ward 30,1991,Chopin Park
-87.70882583826445,41.85980419229675,"1533 S Christiana Ave Chicago, IL 60623",Christiana Park - Playground Park,Chicago_Park_Facility_447,1864,Ward 24,2389,Christiana Park
-87.685008490604,41.87326844143943,"2342 W Flournoy St Chicago, IL 60612",Claremont Park - Playground,Chicago_Park_Facility_450,1896,Ward 28,2165,Claremont Park
-87.64969681924246,41.963078695785754,"4501 N Clarendon Ave Chicago, IL 60640",Clarendon Community Center Park - Playground,Chicago_Park_Facility_458,1860,Ward 46,2312,Clarendon Community Center Park
-87.74062074676144,41.876667038783516,"4615 W Jackson Blvd Chicago, IL 60644",Clark (John) Park - Playground,Chicago_Park_Facility_467,1896,Ward 28,2333,Clark (John) Park
-87.66350720430641,41.92215439451336,"2210 N Southport Ave Chicago, IL 60614",Clover Park - Playground Park,Chicago_Park_Facility_482,1894,Ward 2,2493,Clover Park
-87.65237707613768,41.9132928172992,"1755 N Clybourn Ave Chicago, IL 60614",Clybourn Park - Playground Park,Chicago_Park_Facility_484,1894,Ward 2,2391,Clybourn Park
-87.66173788310165,41.983394122065626,"5554 N Magnolia Ave Chicago, IL 60640",Cochran Park - Playground Park,Chicago_Park_Facility_485,1872,Ward 48,2178,Cochran Park
-87.61595982469173,41.73969876928432,"361 E 85th St Chicago, IL 60619",Cole Park - Playground,Chicago_Park_Facility_491,1902,Ward 6,2073,Cole Park
-87.6034332900749,41.79640400612626,"900 E 54th Pl Chicago, IL 60615",Coleman Park - Playground Park,Chicago_Park_Facility_493,1866,Ward 5,2091,Coleman Park
-87.62627019957218,41.86205945499259,"1466 S Wabash Av Chicago, IL 60605",Coliseum Park - Playground,Chicago_Park_Facility_4535,1861,Ward 3,2243,Coliseum Park
-87.76569463717519,41.87489819194545,"500 S Central Ave Chicago, IL 60644",Columbus Park - Playground 1,Chicago_Park_Facility_513,1897,Ward 29,2021,Columbus Park
-87.76899146554601,41.87743045381142,"500 S Central Ave Chicago, IL 60644",Columbus Park - Playground 2,Chicago_Park_Facility_3192,1897,Ward 29,2021,Columbus Park
-87.67387258165304,41.8965951979276,"1845 W Rice St Chicago, IL 60622",Commercial Club Park - Playground,Chicago_Park_Facility_526,1893,Ward 1,2316,Commercial Club Park
-87.65503446394567,41.681002482670486,"1332 W 117th St Chicago, IL 60643",Cooper Park - Playground,Chicago_Park_Facility_531,1859,Ward 34,2086,Cooper Park
-87.67019820046326,41.801935032370224,"1809 W 50th St Chicago, IL 60609",Cornell Square Park - Playground,Chicago_Park_Facility_543,1884,Ward 20,1911,Cornell Square Park
-87.66813797090128,41.727321400078885,"2100 W 91st St Chicago, IL 60620",Cosme Park - Playground,Chicago_Park_Facility_549,1885,Ward 19,2003,Cosme Park
-87.62922046400668,41.86210876123899,"44 W 15th St Chicago, IL 60616",Cotton Tail Park - Playground,Chicago_Park_Facility_553,1861,Ward 3,2221,Cotton Tail Park
-87.75256015485853,41.883465218606354,"5058 W West End Ave Chicago, IL 60644",Cottonwood Park - Playground Park,Chicago_Park_Facility_554,1896,Ward 28,2175,Cottonwood Park
-87.75849082891868,41.92843998108232,"2611 N Lockwood Ave Chicago, IL 60639",Cragin Park - Playground,Chicago_Park_Facility_558,1888,Ward 31,1986,Cragin Park
-87.72770822677849,41.86009336220602,"1516 S Karlov Ave Chicago, IL 60623",Crawford Park - Playground Park,Chicago_Park_Facility_563,1864,Ward 24,2131,Crawford Park
-87.67674604816578,41.697196902094575,"2230 W 108th Pl Chicago, IL 60643",Crescent Park - Playground,Chicago_Park_Facility_567,1885,Ward 19,1940,Crescent Park
-87.66336608207916,41.99754917359876,"6340 N Lakewood Ave Chicago, IL 60660",D'Elia Park - Playground Park,Chicago_Park_Facility_614,1872,Ward 48,2155,D'Elia Park
-87.66703065640263,41.8125871259276,"4430 S Marshfield Ave Chicago, IL 60609",Davis (Nathan) Square Park - Playground,Chicago_Park_Facility_590,1904,Ward 15,1920,Davis (Nathan) Square Park
-87.76217299647432,41.90196876822522,"5427 W Division St Chicago, IL 60651",Davis (Margaret) Park - Playground Park,Chicago_Park_Facility_593,1900,Ward 37,2392,Davis (Margaret) Park
-87.6736585812172,41.747200623692464,"8040 S Damen Av Chicago, IL 60620",Dawes Park - Playground,Chicago_Park_Facility_604,1875,Ward 18,2045,Dawes Park
-87.70477833843785,41.91396566061534,"1805 N Albany Ave Chicago, IL 60647",De Burgos Park - Playground,Chicago_Park_Facility_2203,1893,Ward 1,2287,De Burgos Park
-87.67068635958412,41.9067136646521,"1356 N Dean St Chicago, IL 60622",Dean Park - Playground,Chicago_Park_Facility_608,1893,Ward 1,2334,Dean Park
-87.59655625457775,41.749749261908924,"1126 E 80th St Chicago, IL 60619",DeBow Park - Playground,Chicago_Park_Facility_611,1907,Ward 8,2169,DeBow Park
-87.74949258899626,41.91111018799361,"4905 W Wabansia Ave Chicago, IL 60639",DeGeorge Park - Playground Park,Chicago_Park_Facility_612,1900,Ward 37,2393,DeGeorge Park
-87.75365205978737,41.990843859683785,"6056 N Landers Ave Chicago, IL 60646",DeJulio Park - Playground Park,Chicago_Park_Facility_613,1899,Ward 39,2138,DeJulio Park
-87.75174037812897,41.95544156180533,"4117 N Lavergne Ave Chicago, IL 60641",Dickinson Park - Playground,Chicago_Park_Facility_615,1886,Ward 45,2454,Dickinson Park
-87.60184101914183,41.73268028389256,"8931 S Dauphin Ave Chicago, IL 60619",Dixon Park - Playground,Chicago_Park_Facility_617,1907,Ward 8,2453,Dixon Park
-87.5989597644855,41.757815769792415,"7521 S Dobson Ave Chicago, IL 60619",Dobson Park - Playground Park,Chicago_Park_Facility_618,1907,Ward 8,2394,Dobson Park
-87.69495164343633,41.871320500097646,"2734 W Polk St Chicago, IL 60612",Dogwood Park - Playground Park,Chicago_Park_Facility_619,1896,Ward 28,2123,Dogwood Park
-87.6603843414838,41.94185651381505,"1230 W School St Chicago, IL 60657",Donahue Park - Playground,Chicago_Park_Facility_0,1868,Ward 44,2302,Donahue Park
-87.64795138660473,41.82841205138589,"3620 S Lituanica Ave Chicago, IL 60609",Donovan Park - Playground,Chicago_Park_Facility_623,1881,Ward 11,2336,Donovan Park
-87.70809618618276,41.75353727569749,"3426 W 77th St Chicago, IL 60652",Dooley Park - Playground,Chicago_Park_Facility_630,1875,Ward 18,2095,Dooley Park
-87.69603094188825,41.85702464857244,"1401 S Sacramento Dr Chicago, IL 60623",Douglas Park - Playground 1,Chicago_Park_Facility_649,NA,NA,2030,Douglas Park
-87.70223518919083,41.856193391671006,"1401 S Sacramento Dr Chicago, IL 60623",Douglas Park - Playground 2,Chicago_Park_Facility_650,NA,NA,2030,Douglas Park
-87.69631862144897,41.86224726358847,"1401 S Sacramento Dr Chicago, IL 60623",Douglas Park - Playground 3,Chicago_Park_Facility_651,NA,NA,2030,Douglas Park
-87.70245569336738,41.861737971322185,"1401 S Sacramento Dr Chicago, IL 60623",Douglas Park - Playground 4,Chicago_Park_Facility_652,NA,NA,2030,Douglas Park
-87.69988559363006,41.866191003567145,"1401 S Sacramento Dr Chicago, IL 60623",Douglas Park - Playground 5,Chicago_Park_Facility_653,NA,NA,2030,Douglas Park
-87.6732391551168,41.767381942554245,"6931 S Damen Ave Chicago, IL 60636",Drexel Park - Playground Park,Chicago_Park_Facility_662,1863,Ward 17,2197,Drexel Park
-87.62126161305332,41.841809137663944,"200 E 31st St Chicago, IL 60616",Dunbar Park - Playground 1,Chicago_Park_Facility_669,1882,Ward 4,2071,Dunbar Park
-87.62114525699519,41.838616828840074,"200 E 31st St Chicago, IL 60616",Dunbar Park - Playground 2,Chicago_Park_Facility_670,1882,Ward 4,2071,Dunbar Park
-87.7824339088943,41.96628467329444,"4640 N Melvina Ave Chicago, IL 60630",Dunham Park - Playground,Chicago_Park_Facility_687,1877,Ward 38,2062,Dunham Park
-87.72853068129905,41.74004296314831,"8441 S Kolin Ave Chicago, IL 60652",Durkin Park - Playground,Chicago_Park_Facility_698,1875,Ward 18,2072,Durkin Park
-87.63964124817315,41.89858635875952,"421 W Locust St Chicago, IL 60610",Durso Park - Playground,Chicago_Park_Facility_704,1905,Ward 27,2343,Durso Park
-87.65334478551864,41.8550617621825,"1119 W Cullerton St Chicago, IL 60608",Dvorak Park - Playground 1,Chicago_Park_Facility_711,1873,Ward 25,2028,Dvorak Park
-87.65442662771466,41.85365621262902,"1119 W Cullerton St Chicago, IL 60608",Dvorak Park - Playground 2,Chicago_Park_Facility_712,1873,Ward 25,2028,Dvorak Park
-87.56408484925045,41.74660437088141,"2430 E 82nd St Chicago, IL 60617",Eckersall Park - Playground,Chicago_Park_Facility_716,1883,Ward 7,2038,Eckersall Park
-87.66064966072685,41.89642990083661,"1330 W Chicago Ave Chicago, IL 60622",Eckhart Park - Playground,Chicago_Park_Facility_724,1905,Ward 27,2020,Eckhart Park
-87.7611401274678,42.00002727346889,"6525 N Hiawatha Ave Chicago, IL 60646",Edgebrook Park - Playground,Chicago_Park_Facility_15415,1865,Ward 41,2116,Edgebrook Park
-87.8173198529543,42.00393684515723,"6755 N Northwest Hwy Chicago, IL 60631",Edison Park - Playground,Chicago_Park_Facility_735,1865,Ward 41,1948,Edison Park
-87.64320933134773,41.78405217110147,"711 W 60th Pl Chicago, IL 60621",Edmonds Park - Playground Park,Chicago_Park_Facility_736,1901,Ward 16,2156,Edmonds Park
-87.68376827227577,41.916336222713994,"2230 W Cortland St Chicago, IL 60647",Erhler Park - Playground,Chicago_Park_Facility_754,1887,Ward 32,2083,Erhler Park
-87.61075366093452,41.82935139241031,"600 E 37th St Chicago, IL 60653",Ellis Park - Playground,Chicago_Park_Facility_744,1882,Ward 4,2456,Ellis Park
-87.70617920938027,41.944425369857775,"3461 N Troy St Chicago, IL 60618",Elston Park - Playground Park,Chicago_Park_Facility_747,1858,Ward 33,2395,Elston Park
-87.67637510153187,41.9945734059819,"1820 W Granville Ave Chicago, IL 60660",Emmerson Park - Playground,Chicago_Park_Facility_750,1906,Ward 40,1967,Emmerson Park
-87.58998837303538,41.755121466399615,"7687 S South Chicago Ave Chicago, IL 60619",Essex Park - Playground Park,Chicago_Park_Facility_755,1866,Ward 5,2192,Essex Park
-87.63735638680261,41.71636779800237,"9800 S Parnell Ave Chicago, IL 60628",Euclid Park - Playground,Chicago_Park_Facility_761,1859,Ward 34,1950,Euclid Park
-87.6456918094203,41.939781930158574,"631 W Belmont Ave Chicago, IL 60657",Evergreen Park - Playground Park,Chicago_Park_Facility_765,1868,Ward 44,2492,Evergreen Park
-87.67911212880851,41.93984055339295,"2012 W Belmont Ave Chicago, IL 60618",Fellger Park - Playground Park,Chicago_Park_Facility_767,1887,Ward 32,2397,Fellger Park
-87.63931152773306,41.70441074004673,"10436 S Wallace St Chicago, IL 60628",Fernwood Park - Playground,Chicago_Park_Facility_775,1859,Ward 34,1949,Fernwood Park
-87.72419449302505,41.97487833693598,"5100 N Ridgeway Ave Chicago, IL 60625",Field Park - Playground,Chicago_Park_Facility_785,1899,Ward 39,1936,Field Park
-87.6750632638622,41.95351291208382,"1822 W Larchmont Ave Chicago, IL 60613",Filbert Park - Playground Park,Chicago_Park_Facility_794,1874,Ward 47,2497,Filbert Park
-87.69193219689116,41.91505889266139,"2554 W Moffat St Chicago, IL 60647",Flower Park - Playground Park,Chicago_Park_Facility_795,1893,Ward 1,2189,Flower Park
-87.59642150230533,41.774860864046325,"6600 S Woodlawn Ave Chicago, IL 60637",Flying Squirrel Park - Playground Park,Chicago_Park_Facility_797,1866,Ward 5,2112,Flying Squirrel Park
-87.75461142866637,41.977550947691576,"5073 W Berwyn Ave Chicago, IL 60630",Forest Glen Park - Playground Park,Chicago_Park_Facility_799,1899,Ward 39,1951,Forest Glen Park
-87.65809050430082,41.8645405478217,"1313 S Throop St Chicago, IL 60608",Fosco Park - Playground 1,Chicago_Park_Facility_802,1873,Ward 25,2337,Fosco Park
-87.65678190833052,41.864496599533666,"1313 S Throop St Chicago, IL 60608",Fosco Park - Playground 2,Chicago_Park_Facility_803,1873,Ward 25,2337,Fosco Park
-87.66091124465518,41.74227167361091,"1400 W 84th St Chicago, IL 60620",Foster Park - Playground,Chicago_Park_Facility_817,1878,Ward 21,1930,Foster Park
-87.73263918192052,41.86075822713083,"1449 S Kolin Ave Chicago, IL 60623",Franklin Park - Playground,Chicago_Park_Facility_838,1864,Ward 24,2014,Franklin Park
-87.63381709896241,41.81222426041669,"331 W 45th St Chicago, IL 60609",Fuller Park - Playground,Chicago_Park_Facility_849,1861,Ward 3,1910,Fuller Park
-87.68548976122312,41.79254133542753,"2415 W 55th St Chicago, IL 60629",Gage Park - Playground,Chicago_Park_Facility_864,NA,NA,1927,Gage Park
