schema:longitude,schema:latitude,schema:address,schema:name,schema:addressLocality,schema:name...18,schema:containedInPlace,schema:name...17,schema:identifier
-87.65605472111193,41.68781501831683,"11250 S Ada St Chicago, IL 60643",Ada Park - Tennis Court 4,1859,Ward 34,1938,Ada Park,Chicago_Park_Facility_34
-87.65509193686333,41.9168896589441,"1919 N Seminary Ave Chicago, IL 60614",Adams (George & Adele) Park - Playground,1898,Ward 43,2327,Adams (George & Adele) Park,Chicago_Park_Facility_35
-87.65513282636383,41.91712285768598,"1919 N Seminary Ave Chicago, IL 60614",Adams (George & Adele) Park - Water Playground,1898,Ward 43,2327,Adams (George & Adele) Park,Chicago_Park_Facility_36
-87.66273799491888,41.86317376420981,"1301 W 14th St Chicago, IL 60608",Addams (Jane) Park - Basketball Backboard 1,1896,Ward 28,2066,Addams (Jane) Park,Chicago_Park_Facility_3214
-87.66299088290121,41.863172240602786,"1301 W 14th St Chicago, IL 60608",Addams (Jane) Park - Basketball Backboard 2,1896,Ward 28,2066,Addams (Jane) Park,Chicago_Park_Facility_3215
-87.66287044444013,41.86317453750809,"1301 W 14th St Chicago, IL 60608",Addams (Jane) Park - Basketball Court,1896,Ward 28,2066,Addams (Jane) Park,Chicago_Park_Facility_3213
-87.66302036773178,41.8623408011866,"1301 W 14th St Chicago, IL 60608",Addams (Jane) Park - Football/Soccer Combo Fld 1,1896,Ward 28,2066,Addams (Jane) Park,Chicago_Park_Facility_3216
-87.66218846655137,41.86235738263796,"1301 W 14th St Chicago, IL 60608",Addams (Jane) Park - Football/Soccer Combo Fld 2,1896,Ward 28,2066,Addams (Jane) Park,Chicago_Park_Facility_3217
-87.6637302298824,41.86309554162578,"1301 W 14th St Chicago, IL 60608",Addams (Jane) Park - Spray Feature,1896,Ward 28,2066,Addams (Jane) Park,Chicago_Park_Facility_3212
-87.61357639464063,41.8929877800749,"485 E Ohio St Chicago, IL 60611",Addams (Jane) Memorial Park - Game Tables,1879,Ward 42,2466,Addams (Jane) Memorial Park,Chicago_Park_Facility_20854
