schema:materialExtent,schema:name,schema:address,schema:identifier,schema:addressLocality,schema:name...18
0.31,Drexel Park,"6931 S Damen Ave Chicago, IL 60636",Chicago_Park_441,1863,Ward 17
1.44,McInerney Park,"4446-58 S. Emerald Ave Chicago, IL 60609",Chicago_Park_443,1881,Ward 11
0.97,Lamb Park,"1400 W 109th St Chicago, IL 60643",Chicago_Park_446,1859,Ward 34
0.15,Martin Park,"922 W Fletcher St Chicago, IL 60657",Chicago_Park_447,1868,Ward 44
6.73,Metcalfe Park,"4196 S State St Chicago, IL 60609",Chicago_Park_448,1861,Ward 3
0.33,Wieboldt Park,"1747 W Nelson St Chicago, IL 60657",Chicago_Park_449,1887,Ward 32
0.18,Lazarus Park,"1257 W Columbia Ave Chicago, IL 60626",Chicago_Park_450,1876,Ward 49
0.45,Sun Yat-Sen Park,"300 W 24th Pl Chicago, IL 60616",Chicago_Park_451,1881,Ward 11
22.24,Peterson Park,"5801 N Pulaski Rd Chicago, IL 60646",Chicago_Park_452,1899,Ward 39
0.22,Miami Park,"2754 S Trumbull Ave Chicago, IL 60623",Chicago_Park_453,1880,Ward 22
1.1,Senior Citizens Memorial Park,"2238 N Oakley Ave Chicago, IL 60647",Chicago_Park_455,1887,Ward 32
19.94,Clark (Richard) Park,"3400 N Rockwell Ave Chicago, IL 60618",Chicago_Park_457,1874,Ward 47
2.34,Ashe Beach Park,"2701 E 74th St Chicago, IL 60649",Chicago_Park_459,1883,Ward 7
2.09,Broadway Armory Park,"5917 N Broadway Chicago, IL 60660",Chicago_Park_462,1872,Ward 48
0.89,Quinn Park,"6239 N Mcclellan Ave Chicago, IL 60646",Chicago_Park_464,1899,Ward 39
1.46,Dearborn Park,"865 S Park Ter Chicago, IL 60605",Chicago_Park_465,1882,Ward 4
1.78,Roosevelt Park,"62 W Roosevelt Rd Chicago, IL 60605",Chicago_Park_466,1882,Ward 4
1.37,Park 468,"4556 W 56th St Chicago, IL 60629",Chicago_Park_468,1869,Ward 13
1.79,Grandparents' Park,"5445 N Chester St Chicago, IL 60656",Chicago_Park_472,1865,Ward 41
0.01,Park 474,"3231 W Douglas Blvd Chicago, IL 60616",Chicago_Park_474,1861,Ward 3
1.12,River Esplanade Park,"401 E River Dr Chicago, IL 60611",Chicago_Park_476,1879,Ward 42
1.38,Ogden Plaza Park,"429 N Columbus Dr Chicago, IL 60611",Chicago_Park_477,1879,Ward 42
3.43,DuSable Park,"401 N Lake Shore Dr Chicago, IL 60611",Chicago_Park_478,1879,Ward 42
1.3,Jones Park,"1240 S Plymouth Ct Chicago, IL 60616",Chicago_Park_479,1861,Ward 3
2.38,Cotton Tail Park,"44 W 15th St Chicago, IL 60616",Chicago_Park_480,1861,Ward 3
17.53,Ping Tom Memorial Park,"300 W 18th St Chicago, IL 60616",Chicago_Park_481,1873,Ward 25
1.14,Nash Community Center Park,"1833 E 71st St Chicago, IL 60649",Chicago_Park_482,1883,Ward 7
12.75,Madigan Park,"4701 W Marquette Rd Chicago, IL 60638",Chicago_Park_484,1869,Ward 13
2.89,Kennicott Park,"4434 S Lake Park Ave Chicago, IL 60653",Chicago_Park_485,1882,Ward 4
22.73,Winnemac Park,"5001 N Leavitt St Chicago, IL 60625",Chicago_Park_486,1906,Ward 40
0.51,Broncho Billy Park,"4437 N Magnolia Ave Chicago, IL 60640",Chicago_Park_487,1860,Ward 46
2.94,Challenger Park,"1100 W Irving Park Rd Chicago, IL 60613",Chicago_Park_488,1860,Ward 46
1.21,Ridge Park Wetlands,"9516 S Wood St Chicago, IL 60643",Chicago_Park_490,1885,Ward 19
9.29,Armstrong Park,"4433 S St Lawrence Chicago, IL 60653",Chicago_Park_492,1861,Ward 3
1.39,Kelly (John) Park,"3800 N Seminary Ave Chicago, IL 60613",Chicago_Park_493,1868,Ward 44
25.4,Washington (Harold) Park,"5200 S Hyde Park Blvd Chicago, IL 60615",Chicago_Park_494,1866,Ward 5
1.81,Boler Park,"3601 W Arthington St Chicago, IL 60624",Chicago_Park_496,1864,Ward 24
2.13,Starr Park,"2306 W Maypole Ave Chicago, IL 60612",Chicago_Park_497,1905,Ward 27
7.68,Beniac Greenway Park,"3925 E 104th St Chicago, IL 60617",Chicago_Park_499,1891,Ward 10
1.33,Park 500,"730 S Springfield Ave Chicago, IL 60624",Chicago_Park_500,1864,Ward 24
0.33,Parsons Park,"4701 W Belmont Ave Chicago, IL 60641",Chicago_Park_501,1895,Ward 30
2.43,Canal Origins Park,"2701 S Ashland Ave Chicago, IL 60608",Chicago_Park_502,1873,Ward 25
15.47,Schafer Park,"8900 S Green Bay Ave Chicago, IL 60617",Chicago_Park_503,1891,Ward 10
10.01,Mandrake Park,"900 E Pershing Rd. Chicago, IL 60653",Chicago_Park_504,1882,Ward 4
0.64,Nottingham Park,"7101 W 63rd St Chicago, IL 60638",Chicago_Park_505,1862,Ward 23
0.21,Washington (Harold) Memorial Park,"7710 N Paulina St Chicago, IL 60626",Chicago_Park_506,1876,Ward 49
0.75,Coliseum Park,"1466 S Wabash Av Chicago, IL 60605",Chicago_Park_507,1861,Ward 3
1.28,Renaissance Park,"1300 W 79th St Chicago, IL 60620",Chicago_Park_509,NA,NA
2.63,Livingston Field Park,"2139-59 W. Lexington St Chicago, IL 60612",Chicago_Park_510,1896,Ward 28
2.92,Montgomery Ward Park,"630 N Kingsbury Ave Chicago, IL 60610",Chicago_Park_511,NA,NA
3.46,Park 512,"1800 N Ashland Ave Chicago, IL 60614",Chicago_Park_512,1887,Ward 32
1.31,Webster Park,"1401 S Indiana Ave Chicago, IL 60605",Chicago_Park_513,1861,Ward 3
0.7,Park 514,"1434 N Monticello Ave Chicago, IL 60651",Chicago_Park_514,1867,Ward 26
5.46,Homan Square Community Center Park,"3517 W Arthington St Chicago, IL 60624",Chicago_Park_515,1864,Ward 24
5.2,Canalport Riverwalk Park,"2900 S Ashland Ave Chicago, IL 60608",Chicago_Park_516,1873,Ward 25
