schema:materialExtent,schema:name,schema:address,schema:identifier,schema:addressLocality,schema:name...18
0.65,Park 517,"5914-5924 N Sheridan Rd Chicago, IL 60660",Chicago_Park_517,1872,Ward 48
2.19,Triangle Park,"1750 W Juneway Ter Chicago, IL 60626",Chicago_Park_518,1876,Ward 49
0.08,Park 519,"1944 S St. Louis Ave Chicago, IL 60623",Chicago_Park_519,1864,Ward 24
0.16,Honor<U+FFFD> Park,"916 N Honore St Chicago, IL 60622",Chicago_Park_520,1894,Ward 2
0.16,Warner Garden Park,"1426 W Warner Ave Chicago, IL 60613",Chicago_Park_521,1874,Ward 47
1.97,Wang Park,"1719 W Wolfram St Chicago, IL 60657",Chicago_Park_522,1887,Ward 32
16.92,Steelworkers Park,"E 87th St At The Lake Chicago, IL 60617",Chicago_Park_523,1891,Ward 10
2.37,Harris (Harriet) Park,"6200 S Drexel Ave Chicago, IL 60637",Chicago_Park_524,1884,Ward 20
7.53,Stone Park,"3200 W Peterson Ave Chicago, IL 60659",Chicago_Park_526,1889,Ward 50
5.75,Park 527,"6200 S Lasalle St Chicago, IL 60621",Chicago_Park_527,1884,Ward 20
5.78,Park 528,"6336 S Kilbourn Ave Chicago, IL 60629",Chicago_Park_528,1869,Ward 13
0.54,Park 529,"2155 W Wabansia Ave Chicago, IL 60647",Chicago_Park_529,1887,Ward 32
2.67,Daley Park,"3150 S Western Ave Chicago, IL 60608",Chicago_Park_530,1873,Ward 25
27.05,Palmisano Park,"2850 S Halsted St Chicago, IL 60608",Chicago_Park_531,1881,Ward 11
2.89,Williams- Davis Park,"4101 S. Lake Park Ave Chicago, IL 60653",Chicago_Park_532,1882,Ward 4
58.11,North Park Nature Ctr,"5801 N Pulaski Rd Chicago, IL 60646",Chicago_Park_533,1899,Ward 39
3.65,Park 534,"1300 S St Louis Ave Chicago, IL 60623",Chicago_Park_534,1864,Ward 24
0.14,Park 535,"800 W Wisconsin St Chicago, IL 60614",Chicago_Park_535,1898,Ward 43
0.32,Park 536,"1401 N Noble St Chicago, IL 60622",Chicago_Park_536,1894,Ward 2
1.11,Heritage Green Park,"610-30 W Adams St Chicago, IL 60661",Chicago_Park_537,1879,Ward 42
32.67,Park 538,"6400 N Kedzie Chicago, IL 60645",Chicago_Park_538,NA,NA
8.09,Palmer Square Park,"2200 N Kedzie Ave Chicago, IL 60647",Chicago_Park_539,NA,NA
5.01,Park 540,"2401 S Federal St Chicago, IL 60616",Chicago_Park_540,1861,Ward 3
1.1,Pritzker Park,"301-52 S State St Chicago, IL 60604",Chicago_Park_541,1882,Ward 4
2.71,Bartelme Park,"115 S. Sangamon St Chicago, IL 60602",Chicago_Park_542,1873,Ward 25
0.4,Park 543,"640 S. Federal St. Chicago, IL 60605",Chicago_Park_543,1882,Ward 4
0.38,Klein Park,"3538-40 N Lincoln Ave Chicago, IL 60657",Chicago_Park_544,1874,Ward 47
5.83,Park 546,"450 E. Benton Place Chicago, IL 60611",Chicago_Park_546,1879,Ward 42
0.46,Battle of Fort Dearborn Park,"1801 S Calumet Ave Chicago, IL 60616",Chicago_Park_547,1861,Ward 3
34.28,Major Taylor Bike Trail Park,NA,Chicago_Park_548,NA,NA
1.61,Logan Square Skate Park Park,"2430 W Logan Blvd Chicago, IL 60647",Chicago_Park_549,1887,Ward 32
3.06,Chicago Women's Park,"1801 S Indiana Ave Chicago, IL 60616",Chicago_Park_550,1861,Ward 3
1.31,Park 551,"353 N Des Plaines St Chicago, IL 60661",Chicago_Park_551,1879,Ward 42
0.31,Park 552,"4901 W Belmont Ave Chicago, IL 60641",Chicago_Park_552,1888,Ward 31
22.77,La Villita Park,"2800 S Sacramento Ave Chicago, IL 60608",Chicago_Park_553,1871,Ward 12
0.51,De Burgos Park,"1805 N Albany Ave Chicago, IL 60647",Chicago_Park_554,1893,Ward 1
11.83,Sauganash Trail Park,"4400 W Devon Ave Chicago, IL 60626",Chicago_Park_555,1899,Ward 39
