schema:longitude,schema:latitude,schema:address,schema:name,schema:addressLocality,schema:name...18,schema:containedInPlace,schema:name...17,schema:identifier
-87.7348157389732,41.975885538701796,"4222 W Foster Ave Chicago, IL 60630",Gompers Park - Pool (Outdoor),1899,Ward 39,1935,Gompers Park,Chicago_Park_Facility_954
-87.73480217310896,41.97618944375209,"4222 W Foster Ave Chicago, IL 60630",Gompers Park - Spray Feature,1899,Ward 39,1935,Gompers Park,Chicago_Park_Facility_957
-87.60047363018646,41.75630172397289,"7655 S Ingleside Ave Chicago, IL 60619",Grand Crossing Park - Pool (Outdoor),1907,Ward 8,1921,Grand Crossing Park,Chicago_Park_Facility_973
-87.60114754542559,41.755276459266476,"7655 S Ingleside Ave Chicago, IL 60619",Grand Crossing Park - Spray Feature,1907,Ward 8,1921,Grand Crossing Park,Chicago_Park_Facility_975
-87.66100840497595,41.70791610484753,"1518 W 102nd Pl Chicago, IL 60643",Graver Park - Water Playground,1885,Ward 19,2006,Graver Park,Chicago_Park_Facility_1031
-87.69678169219408,41.99101227055737,"2650 W Peterson Ave Chicago, IL 60659",Green Briar Park - Spray Feature,1906,Ward 40,2010,Green Briar Park,Chicago_Park_Facility_1039
-87.73328968978186,41.91188333822728,"1729 N Kildare Ave Chicago, IL 60639",Greenebaum Park - Spray Feature,1867,Ward 26,1987,Greenebaum Park,Chicago_Park_Facility_1045
-87.66262925497095,42.0158813026311,"1234 W Jarvis Ave Chicago, IL 60626",Griffin Park - Beach,1876,Ward 49,2479,Griffin Park,Chicago_Park_Facility_1373
-87.69599465907088,41.92518578572053,"2402 N Washtenaw Ave Chicago, IL 60647",Haas Park - Spray Feature,1893,Ward 1,2339,Haas Park,Chicago_Park_Facility_1051
-87.77805444074106,41.7807511913195,"6140 S Melvina Ave Chicago, IL 60638",Hale Park - Pool (Outdoor),1869,Ward 13,2040,Hale Park,Chicago_Park_Facility_1056
